Item1,Item2.X,Item2.Y
48689520.4992,99.43952,804.6496
48689552.2816,99.43952,804.6496
48689569.5488,99.34786,805.2323
48689599.7568,99.01324,807.0092
48689633.3184,99.4498,805.4413
48689682.176,98.82777,802.4288
48689713.1904,99.34113,804.7697
48689745.6512,99.34113,804.7697
48689770.304,99.22388,805.499
48689794.6624,99.22031,805.5986
48689842.9184,99.32815,805.7138
48689877.6576,98.38713,808.433
48689928.2304,98.7149,807.6516
48689955.4688,98.7149,807.6516
48689977.1648,98.53355,808.4534
48690006.6048,98.58861,808.3491
48690037.0048,98.81196,808.4814
48690086.0672,98.45418,808.2195
48690118.3104,98.92732,807.7057
48690149.7344,98.92732,807.7057
48690175.9616,99.43948,806.1167
48690200.3584,99.45477,806.0035
48690247.3856,99.28702,803.1949
48690278.1824,99.66023,805.5783
48690326.4896,99.69928,806.6489
48690357.6064,99.69928,806.6489
48690382.9632,99.5806,806.2385
48690407.9616,99.66403,805.4143
48690438.0544,99.64235,803.41
48690487.2064,99.54858,802.7136
48690519.0144,99.90755,805.6039
48690553.536,99.90755,805.6039
48690577.9584,99.75985,805.0199
48690604.8768,99.67066,804.9361
48690649.0496,99.45798,802.9061
48690680.2432,99.59805,802.6895
48690727.04,99.43304,802.0197
48690759.2832,99.43304,802.0197
48690794.4576,99.46898,801.7076
48690822.9376,99.39576,801.009
48690850.2016,99.11371,800.7863
48690888.704,99.05202,800.538
48690919.1296,99.52769,800.913
48690953.5616,99.52769,800.913
48690979.1232,99.67695,802.155
48691005.5936,99.14973,802.0309
48691050.5344,99.53854,802.0002
48691081.0752,99.58556,802.1711
48691127.936,99.28179,802.0072
48691159.7184,99.28179,802.0072
48691186.304,99.0195,801.2395
48691213.9008,99.00958,801.5847
48691246.8608,99.72202,801.5488
48691287.04,98.58925,807.1432
48691320.064,99.38964,802.2015
48691357.1456,99.38964,802.2015
48691384.3712,100.0056,804.8298
48691410.4064,99.91662,804.2762
48691447.104,99.79939,801.8605
48691482.4704,99.4313,801.5609
48691527.1552,100.2994,804.9435
48691560.384,100.2994,804.9435
48691585.856,100.0797,803.563
