FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1R
407,387.677536,2,0,0,0,0,0,0.00399165038233252,0.00652672389422624
408,387.694176,1,0,0,0,0,0,0.00423127552376796,0.00797925089633077
409,387.710848,2,0,0,0,0,0,0.0039853444575579,0.00645328235802674
410,387.72752,1,0,0,0,0,0,0.00423299532143377,0.0078821764421689
411,387.744192,2,0,0,0,0,0,0.00398806747052876,0.00628904853573133
412,387.760864,1,0,0,0,0,0,0.00423557501793247,0.00781352131973394
413,387.777504,2,0,0,0,0,0,0.00399380012941477,0.0064063156729623
414,387.794176,1,0,0,0,0,0,0.00425176977928547,0.00807752195393376
415,387.810848,2,0,0,0,0,0,0.00401816392968034,0.00675033916228785
416,387.82752,1,0,0,0,0,0,0.0044688942345933,0.00903330895253822
417,387.844192,2,0,0,0,0,0,0.00444410048491128,0.00941996143945411
418,387.860864,1,0,0,0,0,0,0.00518003056940351,0.0131663772382093
419,387.877504,2,0,0,0,0,0,0.00473818588576387,0.0115231415626743
420,387.894176,1,0,0,0,0,0,0.00519937829314381,0.0131653302101984
421,387.910848,2,0,0,0,0,0,0.00472872699860195,0.0115307699096116
422,387.92752,1,0,0,0,0,0,0.00520554090144628,0.0131909076087526
423,387.944192,2,0,0,0,0,0,0.00472084459263368,0.011558740515048
424,387.960832,1,0,0,0,0,0,0.00521012702855509,0.0132363785395156
425,387.977504,2,0,0,0,0,0,0.00473288317629431,0.0115876085730654
426,387.994176,1,0,0,0,0,0,0.00523707052531936,0.0132233654770933
427,388.010848,2,0,0,0,0,0,0.00473560618926517,0.0116095961612962
428,388.02752,1,0,0,0,0,0,0.00522302551104863,0.0132405666515595
429,388.04416,2,0,0,0,0,0,0.00474463512701064,0.0115886556010763
430,388.060832,1,0,0,0,0,0,0.00520640080027918,0.0132618063626396
431,388.077504,2,0,0,0,0,0,0.00474506507642709,0.0116151304522114
432,388.094176,1,0,0,0,0,0,0.00520539758497413,0.0132541780157024
433,388.110848,2,0,0,0,0,0,0.00475309079886751,0.011632630777538
434,388.127488,1,0,0,0,0,0,0.00524624277953699,0.0132782596599552
435,388.14416,2,0,0,0,0,0,0.00475667371067127,0.0116021173897891
436,388.160832,1,0,0,0,0,0,0.00519880502725521,0.0132351819360745
437,388.177504,2,0,0,0,0,0,0.00472729383388044,0.0116103440384469
438,388.194176,1,0,0,0,0,0,0.00522732500521314,0.0132567207980148
439,388.210848,2,0,0,0,0,0,0.0047470715070372,0.0115895530536572
440,388.227488,1,0,0,0,0,0,0.00522273887810432,0.0132395196235486
441,388.24416,2,0,0,0,0,0,0.00474535170937139,0.0115774374438157
442,388.260832,1,0,0,0,0,0,0.00519737186253371,0.0132160362810163
443,388.277504,2,0,0,0,0,0,0.00474434849406634,0.0115553002801548
444,388.294176,1,0,0,0,0,0,0.005194792166035,0.0131883648264401
445,388.310848,2,0,0,0,0,0,0.00474563834231569,0.0115557490064452
446,388.327488,1,0,0,0,0,0,0.00521428320624745,0.0131935999664951
447,388.34416,2,0,0,0,0,0,0.00472270770677163,0.0115386974074091
448,388.360832,1,0,0,0,0,0,0.00517057168224158,0.0131454366779895
449,388.377504,2,0,0,0,0,0,0.00444324058607838,0.00966810707805893
450,388.394144,1,0,0,0,0,0,0.00489382757451919,0.0119548162540628
451,388.410816,2,0,0,0,0,0,0.00445327273912891,0.0112017039633002
452,388.427488,1,0,0,0,0,0,0.00462410597393217,0.0109546053527063
453,388.44416,2,0,0,0,0,0,0.00419172017745446,0.0089788634959667
454,388.460832,1,0,0,0,0,0,0.00451145922682196,0.00996441600516933
455,388.477504,2,0,0,0,0,0,0.00409756125525165,0.00829350887505815
456,388.494144,1,0,0,0,0,0,0.00452994705172936,0.0100089894833515
457,388.510816,2,0,0,0,0,0,0.00411045973774519,0.00821677667939553
458,388.527488,1,0,0,0,0,0,0.00449239813602596,0.00994437289753036
459,388.54416,2,0,0,0,0,0,0.00413023741090194,0.00846656764773191
460,388.560832,1,0,0,0,0,0,0.00450601320088025,0.0101169829439137
461,388.577504,2,0,0,0,0,0,0.00411877209312991,0.00833105230802367
462,388.594144,1,0,0,0,0,0,0.00447906970411598,0.00984505481191638
463,388.610816,2,0,0,0,0,0,0.00410358054708197,0.00800213593714242
464,388.627488,1,0,0,0,0,0,0.00442575597647603,0.00948951401446993
465,388.64416,2,0,0,0,0,0,0.00406287866899126,0.00752199880638807
466,388.660832,1,0,0,0,0,0,0.00436900265350448,0.00906112998254455
467,388.677472,2,0,0,0,0,0,0.00404453416055601,0.00712816669882538
468,388.694144,1,0,0,0,0,0,0.00432271143299991,0.00871276880574489
469,388.710816,2,0,0,0,0,0,0.00402303668973345,0.00691322680571199
470,388.727488,1,0,0,0,0,0,0.00431726540705819,0.00852310716032542
471,388.74416,2,0,0,0,0,0,0.00402217679090055,0.00680478461885937
472,388.7608,1,0,0,0,0,0,0.00427126081949792,0.00838744224518704
473,388.777472,2,0,0,0,0,0,0.00400727187779691,0.00677412165568035
474,388.794144,1,0,0,0,0,0,0.00429132512559897,0.00847210193864715
475,388.810816,2,0,0,0,0,0,0.00401845056262464,0.00692833392415628
476,388.827488,1,0,0,0,0,0,0.00434220247321236,0.0086480026444936
477,388.84416,2,0,0,0,0,0,0.00405972570660395,0.00746889952868782
478,388.8608,1,0,0,0,0,0,0.00449096497130446,0.00938286673277901
479,388.877472,2,0,0,0,0,0,0.00423127552376796,0.00833793277781019
480,388.894144,1,0,0,0,0,0,0.00506910361995911,0.0121248835181338
481,388.910816,2,0,0,0,0,0,0.00470937927486165,0.0114989103429914
482,388.927488,1,0,0,0,0,0,0.00517472785993394,0.0131387057836332
483,388.944128,2,0,0,0,0,0,0.00472242107382733,0.0115010043990134
484,388.9608,1,0,0,0,0,0,0.00519694191311726,0.013138556208203
485,388.977472,2,0,0,0,0,0,0.00471138570547175,0.0115023505778847
486,388.994144,1,0,0,0,0,0,0.00518819960831608,0.0131445392254087
487,389.010784,2,0,0,0,0,0,0.00472614730210324,0.011524936467836
488,389.027424,1,0,0,0,0,0,0.00519264241895274,0.0131819330829441
489,389.044096,2,0,0,0,0,0,0.00472399755502099,0.0115068378407889
490,389.060768,1,0,0,0,0,0,0.00518791297537178,0.0131808860549331
491,389.07744,2,0,0,0,0,0,0.00474477844348279,0.0115008548235833
492,389.094112,1,0,0,0,0,0,0.00519020603892619,0.013157552287831
493,389.110784,2,0,0,0,0,0,0.00471812157966282,0.0114860468559992
494,389.127424,1,0,0,0,0,0,0.00519278573542489,0.013151270119765
495,389.144096,2,0,0,0,0,0,0.00473374307512721,0.0114905341189035
496,389.160768,1,0,0,0,0,0,0.00518203700001361,0.0131675738416505
497,389.17744,2,0,0,0,0,0,0.00471023917369455,0.0114903845434734
498,389.194112,1,0,0,0,0,0,0.00521485647213605,0.0131511205443349
499,389.210784,2,0,0,0,0,0,0.00472442750443744,0.0114927777503556
500,389.227424,1,0,0,0,0,0,0.0052144265227196,0.013157552287831
501,389.244096,2,0,0,0,0,0,0.00473589282220947,0.0115391461336995
502,389.260768,1,0,0,0,0,0,0.00521786611805121,0.0131608429472941
503,389.27744,2,0,0,0,0,0,0.0047121022878325,0.011479465537073
504,389.29408,1,0,0,0,0,0,0.00518762634242748,0.0131763987920288
505,389.310784,2,0,0,0,0,0,0.00470149686889338,0.0115087823213808
506,389.327424,1,0,0,0,0,0,0.00519980824256026,0.013138556208203
507,389.344096,2,0,0,0,0,0,0.00473474629043226,0.0114785680844922
508,389.360768,1,0,0,0,0,0,0.00520754733205638,0.0131312270121261
509,389.377408,2,0,0,0,0,0,0.00472199112441088,0.0114864955822897
510,389.39408,1,0,0,0,0,0,0.00520769064852853,0.0131283850789534
511,389.410752,2,0,0,0,0,0,0.00470636962894649,0.0114535889876585
512,389.427424,1,0,0,0,0,0,0.0051939322672021,0.0131170173462626
513,389.444096,2,0,0,0,0,0,0.00471855152907927,0.0114851494034184
514,389.460768,1,0,0,0,0,0,0.00518877287420468,0.013137509180192
515,389.477408,2,0,0,0,0,0,0.0047109557560553,0.011466751625511
516,389.49408,1,0,0,0,0,0,0.00518132041765286,0.0131167181954023
517,389.510752,2,0,0,0,0,0,0.00469648079236811,0.0113298901069315
518,389.527424,1,0,0,0,0,0,0.00490586615817982,0.0105634656028862
519,389.544096,2,0,0,0,0,0,0.00419515977278606,0.008505756410429
520,389.560736,1,0,0,0,0,0,0.00487605633197254,0.0114742303970181
521,389.577408,2,0,0,0,0,0,0.00419157686098231,0.00892247355880334
522,389.59408,1,0,0,0,0,0,0.00455359426963418,0.00996651006119131
523,389.610752,2,0,0,0,0,0,0.00406216208663051,0.00759813270033011
524,389.627424,1,0,0,0,0,0,0.00439608946674091,0.00916029849272839
525,389.644064,2,0,0,0,0,0,0.00404725717352687,0.00727205826262155
526,389.660736,1,0,0,0,0,0,0.00439623278321306,0.00898335075887094
527,389.677408,2,0,0,0,0,0,0.00405098340180278,0.00738274408092629
528,389.69408,1,0,0,0,0,0,0.00442647255883679,0.00909942129266078
529,389.710752,2,0,0,0,0,0,0.00404797375588762,0.00738753049469082
530,389.727424,1,0,0,0,0,0,0.00436026034870331,0.00899785957559467
531,389.744064,2,0,0,0,0,0,0.00403923145108645,0.00725680156874711
532,389.760736,1,0,0,0,0,0,0.00438003802186006,0.0091362168484756
533,389.777408,2,0,0,0,0,0,0.00404668390763827,0.00751182767713844
534,389.79408,1,0,0,0,0,0,0.00435409774040084,0.00914893076003763
535,389.810752,2,0,0,0,0,0,0.0040408079322801,0.00737885511974261
536,389.827392,1,0,0,0,0,0,0.00437373209708544,0.00911452841110508
537,389.844064,2,0,0,0,0,0,0.00405943907365965,0.00751347300687
538,389.860736,1,0,0,0,0,0,0.00439981569501681,0.00936506725659216
539,389.877408,2,0,0,0,0,0,0.00407262418909749,0.00771345535696924
540,389.89408,1,0,0,0,0,0,0.00444854329554795,0.0096773807547277
541,389.91072,2,0,0,0,0,0,0.00411662234604765,0.00854674007828778
542,389.927392,1,0,0,0,0,0,0.00463413812698269,0.0107345798949681
543,389.944064,2,0,0,0,0,0,0.00446230167687438,0.0107606060198128
544,389.960736,1,0,0,0,0,0,0.00507225658234642,0.0134339676827326
545,389.977408,2,0,0,0,0,0,0.00455345095316203,0.0114473068195926
546,389.99408,1,0,0,0,0,0,0.00487261673664093,0.0122919592736019
547,390.01072,2,0,0,0,0,0,0.0043946563020194,0.00948353099726426
548,390.027392,1,0,0,0,0,0,0.00511539484046369,0.012769703197474
549,390.044064,2,0,0,0,0,0,0.0046918946652593,0.0114470076687323
550,390.060736,1,0,0,0,0,0,0.00516455239041127,0.0131192609777148
551,390.077408,2,0,0,0,0,0,0.00470020702064402,0.0114405759252362
552,390.094048,1,0,0,0,0,0,0.00516942515046438,0.0131463341305704
553,390.11072,2,0,0,0,0,0,0.00470479314775283,0.01149741458869
554,390.127392,1,0,0,0,0,0,0.00517730755643265,0.0131545607792282
555,390.144064,2,0,0,0,0,0,0.00471554188316411,0.0114779697827716
556,390.160736,1,0,0,0,0,0,0.00516569892218847,0.0131240473914793
557,390.177376,2,0,0,0,0,0,0.0047126755537211,0.0114933760520762
558,390.194048,1,0,0,0,0,0,0.00518017388587566,0.0131146241393804
